department,name,description,credits,prerequisites,corequisites,,,,,,,,,,,,
BALA,BALA 503 Commercial Law,,Credits: 1.5,null,null,,,,,,,,,,,,
LAW,LAW 391D Topics in Environmental Law - TPCS ENVIR LAW,"Not offered each year, consult Faculty.",Credits: 3,null,null,,,,,,,,,,,,
CELL,CELL 649 Doctoral Dissertation,,Credits: 0,null,null,,,,,,,,,,,,
JRNL,JRNL 534 Media Law,,Credits: 3,null,null,,,,,,,,,,,,
ARCL,ARCL 305 Archaeological Interpretation,"Current theoretical developments explored through the practice of archaeology. Examples drawn from a range of times and places focusing on emerging technologies, food production, colonial encounters and culture contact, materiality and symbolic systems, social inequality and complexity, and human-environmental interactions.",Credits: 3,Pre-reqs:     ARCL 203.,null,,,,,,,,,,,,
ISCI,ISCI 499 Co-Operative Work Placement IV,Industrial or academic work experience for a minimum of 4 months. Technical report required.  Restricted to students admitted to the Co-op Program in ISP.,Credits: 3,Pre-reqs:     ISCI 498.,null,,,,,,,,,,,,
COMM,COMM 468 Marketing Applications,Applied marketing planning with emphasis on a major industrial analysis and the subsequent development of a detailed marketing plan for an operating organization.,Credits: 3,"Pre-reqs:     All of COMM 362, COMM 363.",Co-reqs:      COMM 365.,,,,,,,,,,,,
FIST,FIST 532A Seminar: Study of Major Film Artists - SEM: ST MAJ FILM,"Investigations into the biographical, social, and national backgrounds of two or three major artists, with attention to the specific nature of their work in its historical, psychological, and cultural contexts. Topics will vary from year to year.",Credits: 3,null,null,,,,,,,,,,,,
MECH,MECH 543 Acoustics and Noise Control,"Wave properties; the decibel; hearing, deafness and hearing protectors; noise criteria and regulations; sound measurement; sound-source characterization; real noise sources; sound propagation outdoors, in ducts and pipes and in rooms; sound transmission; silencers; sound absorbers; partitions.",Credits: 3,null,null,,,,,,,,,,,,
CHBE,CHBE 599 Thesis,For M.A.Sc.,Credits: 12,null,null,,,,,,,,,,,,
FRE,FRE 525 Environmental Economics and Policy,,Credits: 3,null,null,,,,,,,,,,,,
