department,name,description,credits,prerequisites,corequisites,,,,,,,,,,,,
COGS,COGS 303 Research Methods in Cognitive Systems,Examination and comparison of the research methodologies of different disciplines relevant to cognitive systems.,Credits: 3,Pre-reqs:     COGS 200.,null,,,,,,,,,,,,
CPSC,CPSC 507 Software Engineering,,Credits: 3,null,null,,,,,,,,,,,,
EDST,EDST 508D Review of Research in Educational Studies - REV RES ED STUDS,,Credits: 3,null,null,,,,,,,,,,,,
EPSE,EPSE 528 Basic Principles of Measurement,,Credits: 3,Pre-reqs:     EPSE 482.,null,,,,,,,,,,,,
EPSE,EPSE 687B Doctoral Practicum In School or Counselling Psychology - SCH CNS PSY PRAC,Pass/Fail,Credits: 6,Pre-reqs:      (Admission to the School Psychology or Counselling Psychology Ph.D. Program.),null,,,,,,,,,,,,
ARCH,ARCH 523 Contemporary Theories in Architecture,Theoretical propositions and their built manifestations.,Credits: 3,"Pre-reqs:     All of ARCH 504, ARCH 505.",null,,,,,,,,,,,,
BIOL,"BIOL 209 Biodiversity of algae, fungi and bryophytes","Diversity, ecology, cell biology and evolutionary origins of multicellular eukaryotes, illustrated through mosses and liverworts; fungi and slime molds; and fresh water and marine algae.",Credits: 4,"Pre-reqs:     Either (a) all of BIOL 121, BIOL 140 or (b) all of SCIE 001, BIOL 140. (or (c) 8 transfer credits of first-year biology.)",null,,,,,,,,,,,,
CIVL,CIVL 498A Topics in Civil Engineering - ENVRN STWSHP ENG,Seminar or lecture. Registration will take place on the first day of class by the Instructor.,Credits: 3,null,null,,,,,,,,,,,,
LAW,LAW 316 International Law,"The history, sources and evidence of international law and its relation to municipal law; international personality; state jurisdiction; and treaties. Students who have taken POLI 465 cannot take this course.",Credits: 3,null,null,,,,,,,,,,,,
LAW,LAW 410 International Taxation,The tax aspects of international transactions. Not offered each year, consult Faculty. Credit will be granted for only one of LAW 410 or LAW 565.,Credits: 3,"Pre-reqs:     One of LAW  220, LAW  407.",null,,,,,,,,,,,
RHSC,RHSC 585 Directed Studies,,Credits: 3,Pre-reqs:     RHSC 501.,null,,,,,,,,,,,,
BIOL,BIOL 416 Principles of Conservation Biology,"Ecological basis of conserving biological diversity and ecosystem services; application of ecological theory to global and local conservation problems in the context of economic, legal, political, and social perspectives. Please consult the Faculty of Science Credit Exclusion List: www.students.ubc.ca/calendar/index.cfm?tree=12,215,410,414.",Credits: 3,"Pre-reqs:     One of BIOL 230, BIOL 303, BIOL 304, FRST 201.",null,,,,,,,,,,,,
CHIN,CHIN 311 Advanced Chinese Reading and Writing I (Heritage),Transition from language to literature. Can be taken concurrently with CHIN 315 and CHIN 341.,Credits: 3,"Pre-reqs:     One of CHIN 217, CHIN 218.",null,,,,,,,,,,,,
ASTU,ASTU 400X Interdisciplinary Studies in Arts - DSEMPD MOTHR,For upper-division students in the Faculty of Arts. Topics announced annually.,Credits: 3,null,null,,,,,,,,,,,,
FOPR,FOPR 261 Basic Geomatics for Natural Resources,Techniques of measuring and surveying as they are applied in assessing and managing natural resources.,Credits: 2,"Where applicable, please visit this site for examination information: http://www.students.ubc.ca/coursesreg/exams/",null,,,,,,,,,,,,
ENGL,ENGL 545A Studies in Canadian Literature - STUDIES CAN LIT,,Credits: 3,null,null,,,,,,,,,,,,
MATH,MATH 345 Applied Nonlinear Dynamics and Chaos,"Phase plane methods, bifurcation and stability theory, limit-cycle behavior and chaos for nonlinear differential equations with applications to the sciences.  Assignments involve the use of computers.",Credits: 3,"Pre-reqs:     A score of 68% or higher in one of MATH 215, MATH 255, MATH 256, MATH 265.",null,,,,,,,,,,,,
GEOG,GEOG 352 Urbanization in the Global South,"Urbanization in the developing countries of Latin America, Africa, and Asia; the role of cities in the development process and the features and problems of rapid urbanization.",Credits: 3,null,null,,,,,,,,,,,,
PATH,"PATH 327 Bacteriology, Mycology, Virology and Parasitology","Descriptions of each group of human microbial pathogens according to biological attributes, clinical features, pathogenesis and pathology, epidemiology, immunological reactions, laboratory diagnosis, principles of antimicrobial therapy, preventative measures. For students in the Faculty of Medicine B.M.L.Sc.",Credits: 6,null,null,,,,,,,,,,,,
POLI,POLI 461 Peace and Conflict Studies,"A seminar on a selected topic concerning the causes of war and strategies for the promotion of peace. For specific content in a given year, consult the departmental website.",Credits: 3,"Pre-reqs:     Two of POLI 260, POLI 360, POLI 361, POLI 362, POLI 363, POLI 364, POLI 365, POLI 366, POLI 367, POLI 368, POLI 369, POLI 370.",null,,,,,,,,,,,,
FNH,FNH 477 Nutrition and Disease Prevention,Evidence-based examination of the role of nutrition in the prevention of chronic disease. Restricted to students in majors in the FNH program.,Credits: 3,Pre-reqs:     FNH  398.,null,,,,,,,,,,,,
PLAN,PLAN 548L Current Issues in Planning - CITIES BY CTZENS,Each year the school may offer one or more courses on a topical issue covering recent advances in the field.,Credits: 3,null,null,,,,,,,,,,,,
BIOL,BIOL 457 Comparative Environmental Physiology,A survey of physiological adaptions of animals to different environments.,Credits: 3,Pre-reqs:     BIOL 364.,null,,,,,,,,,,,,
MUSC,MUSC 160A String Chamber Ensembles - STR CHAMB ENS,"May be repeated for credit in accordance with program requirements for B.Mus. or B.A. in Music. Open to other students by audition, with credit, as stipulated by their faculties.",Credits: 2,null,null,,,,,,,,,,,,
PHIL,PHIL 375A Philosophy and Literature - PHILOSOPHY & LIT,"Philosophical issues in works of literature or arising from theories of literary interpretation. Topics include issues relating to relativism, the nature of morality, free will, personal identity, the nature of the emotions.",Credits: 3,null,null,,,,,,,,,,,,
POLI,POLI 420C Advanced Topics in Comparative Politics - ADV TPCS CMP PLI,"Seminar in comparative analysis of politics in democratic systems. For specific content in a given year, consult the departmental website.",Credits: 3,"Pre-reqs:     Two of POLI 220, POLI 320, POLI 321, POLI 322, POLI 323, POLI 324, POLI 325, POLI 326, POLI 327, POLI 328, POLI 329, POLI 330, POLI 331, POLI 332, POLI 333, POLI 350, POLI 351.",null,,,,,,,,,,,,
GREK,GREK 549B Master's Thesis - MASTERS THESIS,,Credits: 12,null,null,,,,,,,,,,,,
CPSC,CPSC 527 Computer Communication Protocols,,Credits: 3,null,null,,,,,,,,,,,,
CIVL,CIVL 526 Virtual Design and Construction,"Creation and use of building information models (BIM) for managing the construction process. 3D parametric modeling, 4D modeling, design coordination, model-based cost estimating, BIM performance measurement, and integrated project delivery methods.",Credits: 3,Do NOT contact the professor regarding registration problems.,null,,,,,,,,,,,,
CHEM,CHEM 305 Biophysical Chemistry,"Diffusion and transport phenomena; interaction of radiation and matter. Methods for determining molecular weight, size, and shape of molecules in solution.",Credits: 3,"Pre-reqs:     One of MATH 200, MATH 217, MATH 226, MATH 253, MATH 263 and either (a) CHEM 201 or (b) a score of 76% or higher in CHEM 205 or (c) CHEM 304 or (d) PHYS 203.",null,,,,,,,,,,,,
BIOC,BIOC 548D Directed Studies - DIRECTED STUDIES,"In special cases, with approval of the department head, advanced courses may be arranged for graduate students in attendance.",Credits: 6,null,null,,,,,,,,,,,,
ENGL,ENGL 499C Honours Essay - HONOURS ESSAY,,Credits: 6,null,null,,,,,,,,,,,,
CIVL,CIVL 520 Construction Planning and Control,Planning of civil engineering projects using networking techniques and time space methods. Treatment of resources and cash flow. Activity planning. Concepts of control at the project and activity levels.,Credits: 3,Do NOT contact the professor regarding registration problems.,null,,,,,,,,,,,,
CIVL,CIVL 422 Project Based Learning in Civil Engineering Materials,Some topical problems will be identified and students in groups will carry out experiments to study the materials involved. Site visits and external consultations are an integral requirement.,Credits: 3,Pre-reqs:     CIVL 320.,Co-reqs:      APSC 201.,,,,,,,,,,,,
GEOB,GEOB 305 Introduction to Hydrology,"Principles of hydrology at site, watershed, and larger regional scales. Introduction to techniques of measurement and analysis. Emphasizes surface water hydrology of western North America.",Credits: 3,"Pre-reqs:     One of GEOB 200, GEOB 204, APBI 244, ATSC 201.",null,,,,,,,,,,,,
FRST,FRST 386 Aquatic Ecosystems and Fish in Forested Watersheds,Effects of forest management activities on fish and aquatic ecosystems.,Credits: 3,"Pre-reqs:      (Third- or fourth-year standing in Forestry, Science or Applied Science.)",null,,,,,,,,,,,,
MUSC,MUSC 550A Large Instrumental Ensemble - LARGE INST ENSEM,Symphony Orchestra or Wind Ensemble. Open only to graduate students.,Credits: 4,"Strings majors only T/TH.  All woodwind, brass, and percussion majors will be assigned to Symphony Orchestra (TTH 4-7:00) and/or Symphonic Wind Ensemble (MW 3-6:00) following auditions. Students may be called upon to rotate between the Symphony Orchestra and Symphonic Wind Ensemble, depending on the instrumental needs of the repertory being performed and at the discretion of the conductors. Please keep potential scheduling conflicts with all rehearsal times in mind when registering for other classes. Symphony Orchestra and Symphonic Wind Ensemble each rehearse approximately six hours per week; both groups rehearse and perform in the Chan Centre for the Performing Arts and produce five or more concerts per year, some with the UBC Choirs.",null,,,,,,,,,,,,
COMM,COMM 320 Financial Accounting,Preparation of financial statements and use of financial information contained in financial statements to make better decisions.,Credits: 1.5,null,null,,,,,,,,,,,,
EECE,EECE 535 Advanced Biophotonics,"Physical principles and design of optical microscopy, optical spectroscopy, and optical imaging devices and systems, and their applications in diagnostics and therapeutics.",Credits: 3,null,null,,,,,,,,,,,,
CHEM,CHEM 514 Crystal Structures,Crystal structures and structural analysis by the methods of X-ray diffraction and neutron diffraction. Credit will not be given for both CHEM 402 and CHEM 514.,Credits: 3,null,null,,,,,,,,,,,,
EECE,EECE 565 Communication Networks,Analysis and design of communications networks, network architectures, Internet protocols, routing, scheduling algorithms, medium access control, congestion control, admission control, optimization techniques, network management.,Credits: 3,null,null,,,
COMM,COMM 461 Sales Management,"Principles and practice of personal selling: strategy, tactics, and implementation.",Credits: 3,Pre-reqs:     COMM 296.,null,,,,,,,,,,,,
SPPH,SPPH 543 Health Technology Assessment for Health Policy,This course is an advanced program evaluation course.,Credits: 3,Pre-reqs:     Either (a) HCEP 502 or (b) SPPH 502.,null,,,,,,,,,,,,
MECH,MECH 260 Introduction to Mechanics of Materials,"Statically determinate frames and trusses; normal and shear stresses and strains; shear force and bending moment diagrams; theory of beam bending, torsion of circular rods; transformation of stress and strain in two and three dimensions, Mohr's circle; yield and ultimate failure criteria.",Credits: 3,"Pre-reqs:     All of MATH 101, PHYS 170.",null,,,,,,,,,,,,
ASIA,ASIA 411 Chinese Political Thought and Institutions,Chinese theories and practices of government and administration from earliest times to 1949.,Credits: 3,null,null,,,,,,,,,,,,
SPAN,SPAN 550B Studies in Peninsular and Latin-American Languages and Literatures - PEN&LAT AM L&LIT,,Credits: 3,null,null,,,,,,,,,,,,
LLED,LLED 212 Introduction to Language Communities and Variation in Language Practices,"Sociolinguistic analysis of language variation according to age, ethnicity, class, race, and gender, and how these variations function in both reflecting and constructing specific identities and memberships in society.",Credits: 3,null,null,,,,,,,,,,,,
VISA,VISA 230 Painting,Development of a variety of techniques and approaches to painting. Emphasis on developing a strong paint vocabulary as well as acquiring knowledge of historical and contemporary issues in painting.,Credits: 3,"Pre-reqs:     A score of 72% or higher in VISA 110 and a score of 72% or higher in one of VISA 180, VISA 182 and a score of 72% or higher in VISA 183.",null,,,,,,,,,,,,
EECE,EECE 512 Topics in Computer Security,,Credits: 3,null,null,,,,,,,,,,,,
CNPS,CNPS 365 Introduction to Theories of Counselling,An overview of selected theories of counselling.,Credits: 3,null,null,,,,,,,,,,,,
LAW,LAW 382 Law and Medicine,Legal issues relating to medicine and the health care system.,Credits: 3,null,null,,,,,,,,,,,,
THTR,THTR 550 Studies in Historic Design,"Seminar in theatre scenery, costumes, and architecture of selected historical periods. Pre- or co-requisite: THTR 505 and THTR 506.",Credits: 6,null,null,,,,,,,,,,,,
MUSC,MUSC 428F Topics in World Music - MUSIC-INDONESIA,"The history, theory, style, organology, and forms of the music of a particular culture in its aesthetic and cultural context. Students should consult the School as to which music culture will be covered in a particular year. May be repeated once for credit if different cultures are covered.",Credits: 3,Pre-reqs:     MUSC 328. (or instructor's permission.),null,,,,,,,,,,,,
RELG,RELG 549A Master's Thesis - MASTERS THESIS,,Credits: 6,null,null,,,,,,,,,,,,
CHEM,CHEM 448A Directed Studies in Chemistry - T1 DST CHEMISTRY,Students will undertake an investigation of a specific topic as agreed upon by the student and the faculty supervisor. Open to third- and fourth-year chemistry students.,Credits: 3,null,null,,,,,,,,,,,,
ENGL,ENGL 301 Technical Writing,"Study of the principles of written communication in general business and professional activities, and practice in the preparation of abstracts, proposals, reports, and correspondence. This course is closed to first- and second-year students in Arts.  Not for credit towards the English Major or Minor.",Credits: 3,"Pre-reqs:     Either (a) ARTS 001 or (b) two of ENGL 100, ENGL 110, ENGL 111, ENGL 112, ENGL 120, ENGL 121 or (c) ASTU 100 or (d) ASTU 150 and one of ENGL 110, ENGL 111, ENGL 120, ENGL 121;  or (e) WRDS 150 and one of ENGL 110, ENGL 111, ENGL 120, ENGL 121. (Or 6 credits of first-year English.)",null,,,,,,,,,,,,
ASTU,ASTU 400U Interdisciplinary Studies in Arts - BILNGLM,For upper-division students in the Faculty of Arts. Topics announced annually.,Credits: 3,null,null,,,,,,,,,,,,
PATH,PATH 548O Directed Studies - CNCR BIOINFRMTCS,,Credits: 3,null,null,,,,,,,,,,,,
HIST,HIST 547D Readings: Special Topics in History - SPEC TOPICS HIST,,Credits: 3,null,null,,,,,,,,,,,,
PLAN,PLAN 524 Legal Concepts for Professional Planning,,Credits: 2,null,null,,,,,,,,,,,,
PHIL,PHIL 434A Business and Professional Ethics - BUS & PROF ETHIC,"Moral problems in contemporary business and professional practice, general moral theory, the law, and policy formation. Corporate social and environmental responsibility, employee rights, preferential hiring and affirmative action programs, conflicts of interest, advertising, ""whistle blowing"" and self-regulation.",Credits: 3,null,null,,,,,,,,,,,,
EOSC,"EOSC 511 Numerical Techniques for Ocean, Atmosphere and Earth Scientists",This course is Web-based. Credit will not be granted for both ATSC 409 and ATSC 506/EOSC 511.,Credits: 3,Equivalents:  ATSC 506,null,,,,,,,,,,,,
ASIA,ASIA 378 Philosophical Wisdom of Early India,"Epistemological and ontological thought from the Vedic period to the period of the rise of philosophical schools or systems Philosophy in the Mahabharata, Gita; early Buddhist and Jain views on knowledge and reality; views on language.",Credits: 3,Equivalents:  PHIL 378,null,,,,,,,,,,,,
HIST,HIST 560 Readings in Chinese History (to 1911),,Credits: 3,null,null,,,,,,,,,,,,
LARC,LARC 316 Trees and Shrubs in Landscape,"Culture and identification of landscape materials with emphasis on woody plants. Elementary principles of landscape composition.  Suitable for students of other faculties and departments interested in landscape materials and their uses, but priority given to  Agroecology and Landscape Architecture students.",Credits: 3,null,null,,,,,,,,,,,,
SPAN,SPAN 364 Survey of Spanish-American Literature and Culture to the 1820s,,Credits: 3,"Pre-reqs:     One of SPAN 220, SPAN 221 and SPAN 302.","Co-reqs:        (SPAN 302 may be taken as a corequisite, with the permission of the instructor or the Spanish Major Adviser.)",,,,,,,,,,,,
MINE,MINE 303 Rock Mechanics Fundamentals,"The study of the mechanical and structural properties of rock materials at the laboratory and field level. The relevance of such studies to common mining, geological and civil engineering problems. Credit will be granted for only one of MINE 303 or MINE 305.",Credits: 3,"Pre-reqs:     One of CIVL 230, MECH 260. (MINE 290 is recommended.)",null,,,,,,,,,,,,
HIST,HIST 313 Africa from Imperialism to Independence,"The history of Africa in the 19th and 20th Centuries: the growth of Islam and Christianity, the impact of European colonialism, the development of nationalism, and the variety of different political and social outcomes after independence.",Credits: 3,null,null,,,,,,,,,,,,
LATN,LATN 401C Latin Prose - LATIN PROSE,"Studies in history, oratory and/or philosophy. May be repeated for up to 12 credits.",Credits: 3,Co-reqs:      LATN 301.,null,,,,,,,,,,,,
CPEN,CPEN 421 Software Project Management,"Advanced project planning, cost estimation and scheduling. Project management tools. Factors influencing productivity and success. Productivity metrics. Analysis of options and risk. Tools. Case studies.",Credits: 4,"Pre-reqs:     One of EECE 310, CPEN 321, CPSC 310.",null,,,,,,,,,,,,
MUSC,MUSC 414 Counterpoint,"Analysis and comosition of pieces that rely on the control and development of imitative, polyphonic textures. Models to be taken from one or more European historical repertoires.",Credits: 3,Pre-reqs:     MUSC 201.,null,,,,,,,,,,,,
MICB,MICB 448B Directed Research - DIRECTED RESRCH,A library (3 credits) or laboratory (3 or 6 credits) project. Requires permission of the Undergraduate Advisor. The results are presented in a written report to be reviewed by oral examination.,Credits: 3,"Pre-reqs:     Either (a) MICB 323 or (b) all of MICB 322, MICB 399.",null,,,,,,,,,,,,
CHEM,CHEM 649 Doctoral Dissertation,,Credits: 0,null,null,,,,,,,,,,,,
FRST,FRST 529 Ecological Economics,Emphasis on forested ecosystems.,Credits: 3,Pre-reqs:     ECON 301.,null,,,,,,,,,,,,
ITAL,ITAL 301 Third-Year Italian I,"Reading, writing, speaking, comprehension. Special emphasis on oral practice and on composition.",Credits: 3,"Pre-reqs:     One of ITAL 202, ITAL 203. (Or permission of the department.)",null,,,,,,,,,,,,
COMM,COMM 412 Negotiation,Negotiation simulations to provide experience and confidence in the negotiation process and to develop effective skills for achieving objectives.,Credits: 3,null,null,,,,,,,,,,,,
PSYT,PSYT 550B Directed Studies - DIRECTED STUDIES,Reading and study in particular fields of study and research in psychiatry.,Credits: 6,null,null,,,,,,,,,,,,
AUDI,AUDI 516C Discourse Analysis - DISCOURSE ANYL,May be taken more than once for credit.,Credits: 1,null,null,,,,,,,,,,,,
SCIE,SCIE 001 Science One,"An innovative first-year multidisciplinary course incorporating biology, chemistry, mathematics, and physics with a strong focus on the connections between these traditional disciplines.  See the Science One website (www.scienceone.ubc.ca)  for further information and the application process for admission to SCIE 001.",Credits: 25,"Pre-reqs:     Either (a) BIOL 11 or (b) BIOL 12;  and all of CHEM 12, CALC 12, PHYS 12, ENGL 12. (and Principles of Mathematics 12 or Pre-calculus 12.)",Co-reqs:      BIOL 140.,,,,,,,,,,,,
OBST,OBST 649 Doctoral Dissertation,,Credits: 0,null,null,,,,,,,,,,,,
ENDS,ENDS 482B Special Topics - SPECIAL TOPICS,,Credits: 2,null,null,,,,,,,,,,,,
ANTH,ANTH 495A Advanced Studies in Anthropology - ADV STUDIES,An intensive examination of selected topics in Anthropology. Consult the Department for this year's offerings.,Credits: 3,Cross-listed with Anth 540B 001,null,,,,,,,,,,,,
GEOG,GEOG 419 Research in Environmental Geography,Details available from Geography Undergraduate Advisor. Not necessarily offered each year.,Credits: 3,"Pre-reqs:      (Major or Honours in Geography with at least 75 credits, or permission of the instructor.)",null,,,,,,,,,,,,
MINE,MINE 555 Mining and Society,"Discussion of social, political and technical topics concerning mining-related activities. Credit will be granted for only one of MINE 555 or MINE 583.",Credits: 3,null,null,,,,,,,,,,,,
LIBR,LIBR 587 Preservation,,Credits: 3,Equivalents:  ARST 587,null,,,,,,,,,,,,
CEEN,CEEN 596 Project and Report,For M.Eng. students. Carry out a project and prepare an engineering report under the supervision of a faculty member.,Credits: 6,null,null,,,,,,,,,,,,
PCTH,PCTH 513 Pharmacology of Anaesthesia,"Pharmacology of drugs used in anaesthesia. Conferences, assigned reading and laboratory exercises demonstrating the actions of drugs as currently applied in the practice of anaesthesia.",Credits: 4,Pre-reqs:      (Permission of the department head is required.),null,,,,,,,,,,,,
PHYS,PHYS 158 Introductory Physics for Engineers II,"Electricity and magnetism, DC and AC circuits, optics. Please consult the Faculty of Science Credit Exclusion List: www.students.ubc.ca/calendar/index.cfm?tree=12,215,410,414.",Credits: 3,Pre-reqs:     PHYS 157.,"Co-reqs:      One of MATH 101, MATH 103, MATH 105, MATH 121.",,,,,,,,,,,,
ECON,ECON 590C Special Advanced Course - SPEC ADV CRSE,,Credits: 3,Course description available on http://departments.arts.ubc.ca/2015/courses.pdf,null,,,,,,,,,,,,
ECON,ECON 465 Market Structure,"Market structure and social welfare, theory of price discrimination, equilibrium in oligopolistic markets, entry and exit decisions, product differentiation and spatial models, theories of hierarchical organization, agency problem in the modern corporation, vertical integration and control, market structure and technical progress.",Credits: 3,"Pre-reqs:     One of ECON 301, ECON 304.",null,,,,,,,,,,,,
COHR,COHR 305 Strategic Compensation,"Employee compensation, including pay systems, benefits systems, and rewards and recognition programs. Examination of the motivational underpinnings of compensation administration and the application of compensation principles to the achievement of employer strategic objectives.",Credits: 3,"Pre-reqs:     COMM 292 and one of COMM 203, COMM 392.",null,,,,,,,,,,,,
LIBE,LIBE 494B Supervised Study in Teacher Librarianship - SUPR ST TCH LIBR,,Credits: 3,Equivalents:  LIBE 449,null,,,,,,,,,,,,
SPPH,SPPH 544 Socal Determinants of Health Across the Life Course,"The social determinants of health have profound impacts on inequities across the life course, as do population-level interventions. Builds on SPPH 527, with an emphasis on life course perspectives and vulnerable populations.",Credits: 3,null,null,,,,,,,,,,,,
MUSC,MUSC 241 Class Piano II,Continuation of MUSC 141.,Credits: 2,null,null,,,,,,,,,,,,
ARCH,ARCH 545A Directed Studies in Architecture - DRECTD STDY ARCH,Directed research and exploration of selected topics in architecture.,Credits: 3,null,null,,,,,,,,,,,,
BIOC,BIOC 649 Doctoral Dissertation,,Credits: 0,null,null,,,,,,,,,,,,
EDCP,EDCP 356 Earth and Space Science - Secondary: Curriculum and Pedagogy,Pass/Fail.,Credits: 3,Pre-reqs:      (A completed concentration in earth and space science or permission of the Head.),null,,,,,,,,,,,,
MTRL,MTRL 250 Metallurgical Thermodynamics I,"Thermodynamic and electrochemical principles applied to metallurgical processes; phase rule, heat of reaction, free energy, activity, thermodynamic equilibrium; thermodynamics of aqueous solutions.",Credits: 4,Equivalents:  MMAT 250,null,,,,,,,,,,,,
KIN,KIN 489F Seminar - SEMINAR,Current topics and research in specific areas.,Credits: 3,Pre-reqs:      (Fourth-year standing. Consult with Advisor for specific prerequisites.),null,,,,,,,,,,,,
LAW,LAW 435D Topics in Tort Law - TPCS IN TORT LAW,"Not offered each year, consult Faculty.",Credits: 3,null,null,,,,,,,,,,,,
PSYC,"PSYC 333 Memory: Historical, Clinical and Cognitive Perspectives",Classical and contemporary metaphors for memory and their impact on theory development.,Credits: 3,"Pre-reqs:     Either (a) PSYC 100 or (b) all of PSYC 101, PSYC 102. (or (c) 6 credits of 200-level Psychology (but not 205 or 263). Non-PSYC students may substitute LING 460 or LING 200 and 201 for the above prerequisite.)",null,,,,,,,,,,,,
BIOL,BIOL 203 Eukaryotic Microbiology,"Introduction to the origin and diversity of protists (protozoa and algae) at both cellular and genomic levels, including the role of endosymbiosis in evolution.",Credits: 4,"Pre-reqs:     BIOL 140 and one of BIOL 121, SCIE 001. (BIOL 200 recommended.)",null,,,,,,,,,,,,
FIPR,FIPR 233 Video Production I,"Camera operation, lighting, sounds, and editing for video production.",Credits: 3,null,null,,,,,,,,,,,,
MATH,MATH 498 Co-operative Work Placement III,Approved and supervised technical work experience involving mathematics in industry for a minimum of 3 1/2 months. Technical report required. Restricted to students admitted to the Mathematics Co-operative Education Program.,Credits: 3,Pre-reqs:     MATH 399.,null,,,,,,,,,,,,
AUDI,"AUDI 520B Phonological Development, Assessment and Intervention - PHON DEV, AS, IN",,Credits: 3,null,null,,,,,,,,,,,,
CHEM,CHEM 333 Spectroscopic Techniques in Organic Chemistry,"Application of mass spectrometry, and NMR, UV/visible, and IR spectroscopies to organic chemical problems.",Credits: 3,"Pre-reqs:     Either (a) all of CHEM 203, CHEM 204 or (b) all of CHEM 233, CHEM 205 or (c) CHEM 213.",null,,,,,,,,,,,,
FOOD,FOOD 510 Advances in Food Science,,Credits: 3,null,null,,,,,,,,,,,,
GRSJ,GRSJ 328 Feminist Theories of Subjectivity,"How feminist scholarship has shaped and reinterpreted accounts of the subject, drawing on such traditions as structuralism, poststructuralism, psychoanalysis, postcolonialism, postmodernism, and Queer Theory.",Credits: 3,"Pre-reqs:     Either (a) all of GRSJ 101, GRSJ 102 or (b) all of WMST 101, WMST 102. (or third-year standing.)",null,,,,,,,,,,,,
COMM,COMM 547B Major Essay/Industry Project - MAJOR ESSAY/PROJ,,Credits: 3,null,null,,,,,,,,,,,,
LLED,LLED 223 Introduction to the Nature of World Englishes,"Exploration of the emergence of new English varieties, as well as a critical examination of main reasons linked to the rise of English worldwide and its proposed role as a neutral global language.",Credits: 3,null,null,,,,,,,,,,,,
ARCH,ARCH 573D Seminar: Environmental Studies - REGENERATVE DSGN,An investigation of specialized environmental topics concerning theory and the practice of architecture.,Credits: 3,Pre-reqs:     ARCH 513.,null,,,,,,,,,,,,
CLST,CLST 318 Classical Comedy,"The plays of the Greek and Roman comic dramatists: Aristophanes, Menander, Plautus and Terence, in translation.",Credits: 3,Pre-reqs:     CLST 105.,null,,,,,,,,,,,,
AUDI,AUDI 567 Audiology Practicum III,,Credits: 3,null,null,,,,,,,,,,,,
ASTR,ASTR 405 Astronomical Laboratory,"Experiments in the use of astronomical instrumentation and data analysis. Use of the 40-cm reflector, spectrograph and electronic detectors. Photometric and spectroscopic analysis of digital data.",Credits: 3,Pre-reqs:     ASTR 404.,null,,,,,,,,,,,,
CHEM,CHEM 449 Seminar and Thesis,Original research work under the direction of a faculty member. Weekly seminar. Required of all Honours students. Open to Majors students with a satisfactory standing and permission of the department head.,Credits: 6,null,null,,,,,,,,,,,,
LIBR,LIBR 559M Topics in Computer-Based Information Systems - TPCS CP-BSED INF,,Credits: 3,null,null,,,,,,,,,,,,
EDST,EDST 540B Locating Oneself in Global Learning - GLOB LEARN,,Credits: 3,null,null,,,,,,,,,,,,
CIVL,CIVL 228 Introduction to Structural Engineering,"Static determinacy, stability, superposition, analysis and design of trusses, deflection of trusses by principles of virtual work, statically indeterminate trusses, beams and frames, cables and arches, design objectives, loads and load combinations, structural safety, load paths, design of simple steel, timber, and reinforced concrete members.",Credits: 4,"Pre-reqs:     All of MATH 152, CIVL 230.",null,,,,,,,,,,,,
CHEM,CHEM 540C Seminar in Chemistry - INORGANIC SEMINR,Compulsory for all graduate students in Chemistry. Pass/Fail.,Credits: 1,null,null,,,,,,,,,,,,
ENDS,ENDS 482A Special Topics - SPECIAL TOPICS,,Credits: 1,null,null,,,,,,,,,,,,
POLI,POLI 562B Topics in International Relations - TOP IN INTER REL,,Credits: 3,null,null,,,,,,,,,,,,
MATH,MATH 401 Green's Functions and Variational Methods,"Green's functions for partial differential equations. Calculus of variations. Eigenfunction expansions. Rayleigh-Ritz and finite element methods.  See Faculty of Science credit exclusion list: http://www.calendar.ubc.ca/vancouver/index.cfm?tree=12,215,410,414.",Credits: 3,"Pre-reqs:     Either (a) a score of 80% or higher in one of MATH 256, MATH 257, MATH 316 or (b) MATH 400.",null,,,,,,,,,,,,
STS,STS 599 Master's Thesis,,Credits: 12,null,null,,,,,,,,,,,,
NURS,NURS 422 Clincial Nursing Focus: Childbearing Families,"Credit is given for one of NURS 420, 422, 423, 424, or 425.",Credits: 6,"Pre-reqs:     All of NURS 302, NURS 303, NURS 304, NURS 305, NURS 306, NURS 333, NURS 334, NURS 335, NURS 336, NURS 337, NURS 338, NURS 339, NURS 340, NURS 341, NURS 342, NURS 343.",Co-reqs:      NURS 344.,,,,,,,,,,,,
COMM,COMM 296 Introduction to Marketing,Basic considerations affecting the domestic and international marketing of goods and services.,Credits: 3,"Co-reqs:      COMM 293 and one of COMM 295, ECON 201, ECON 301.",null,,,,,,,,,,,,
LLED,LLED 441 Introduction to Teaching Children's Literature,,Credits: 3,null,null,,,,,,,,,,,,
APBI,APBI 416 Animal Welfare and Conservation Biology,Evaluation of humane treatment of individual animals living in the wild and managed within conservation biology. Assessment of attitudes and viewpoints of the role of animal welfare in conservation biology.,Credits: 3,Pre-reqs:      (Third-year standing or higher. APBI 315 and BIOL 416 or CONS 220/330 recommended.),null,,,,,,,,,,,,
